,Unnamed: 0,internalTaxonId,scientificName,commonName,threat,iucn_id,iucn_status,habitat
92,92,6432,Dendrolagus lumholtzi,Lumholtz's Tree-kangaroo,"['Named species', 'Temperature extremes', 'Storms & flooding']",21957815,Near Threatened,"['Artificial/Terrestrial - Arable Land', 'Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest', 'Forest - Subtropical/Tropical Dry', 'Forest - Subtropical/Tropical Moist Lowland', 'Forest - Subtropical/Tropical Moist Montane']"
93,93,15331,Onychogalea lunata,Crescent Nailtail Wallaby,[],21957917,Extinct,"['Grassland - Subtropical/Tropical Dry', 'Savanna - Dry']"
94,94,40568,Onychogalea unguifera,Northern Nailtail Wallaby,[],21958021,Least Concern,"['Shrubland - Subtropical/Tropical Dry', 'Savanna - Dry', 'Forest - Subtropical/Tropical Dry']"
95,95,15330,Onychogalea fraenata,Bridled Nailtail Wallaby,"['Trend Unknown/Unrecorded', 'Droughts', 'Named species', 'Unspecified species']",21958130,Vulnerable,"['Savanna - Dry', 'Shrubland - Subtropical/Tropical Dry', 'Forest - Subtropical/Tropical Dry']"
96,96,40573,Thylogale thetis,Red-necked Pademelon,[],21958455,Least Concern,"['Forest - Temperate', 'Artificial/Terrestrial - Arable Land', 'Forest - Subtropical/Tropical Dry', 'Artificial/Terrestrial - Pastureland', 'Artificial/Terrestrial - Plantations']"
97,97,40571,Thylogale billardierii,Tasmanian Pademelon,[],21958627,Least Concern,"['Forest - Temperate', 'Artificial/Terrestrial - Arable Land', 'Artificial/Terrestrial - Pastureland', 'Shrubland - Temperate', 'Grassland - Temperate']"
98,98,40583,Tarsipes rostratus,Honey Possum,[],21958924,Least Concern,['Shrubland - Mediterranean-type Shrubby Vegetation']
99,99,40556,Vombatus ursinus,Bare-nosed Wombat,[],21958985,Least Concern,"['Forest - Temperate', 'Shrubland - Temperate']"
100,100,11343,Lasiorhinus krefftii,Northern Hairy-nosed Wombat,"['Unspecified species', 'Trend Unknown/Unrecorded', 'Droughts', 'Unspecified species', 'Named species']",21959050,Critically Endangered,['Savanna - Dry']
101,101,40555,Lasiorhinus latifrons,Southern Hairy-nosed Wombat,"['Agro-industry grazing, ranching or farming', 'Droughts', 'Unspecified species', 'Named species']",21959203,Near Threatened,"['Grassland - Temperate', 'Grassland - Subtropical/Tropical Dry', 'Savanna - Dry', 'Forest - Temperate']"
102,102,16728,Petaurus norfolcensis,Squirrel Glider,"['Motivation Unknown/Unrecorded', 'Scale Unknown/Unrecorded', 'Trend Unknown/Unrecorded', 'Housing & urban areas', 'Unspecified species', 'Unspecified species', 'Named species', 'Named species']",21959402,Least Concern,"['Forest - Temperate', 'Forest - Subtropical/Tropical Dry', 'Artificial/Terrestrial - Urban Areas', 'Forest - Subtropical/Tropical Moist Lowland']"
103,103,16727,Petaurus gracilis,Mahogany Glider,"['Scale Unknown/Unrecorded', 'Unspecified species', 'Trend Unknown/Unrecorded']",21959531,Endangered,['Forest - Subtropical/Tropical Dry']
104,104,16730,Petaurus australis,Yellow-bellied Glider,"['Motivation Unknown/Unrecorded', 'Trend Unknown/Unrecorded', 'Scale Unknown/Unrecorded', 'Scale Unknown/Unrecorded', 'Housing & urban areas']",21959641,Near Threatened,"['Forest - Temperate', 'Forest - Subtropical/Tropical Dry', 'Forest - Subtropical/Tropical Moist Lowland']"
105,105,9564,Gymnobelideus leadbeateri,Leadbeater's Possum,"['Motivation Unknown/Unrecorded', 'Other ecosystem modifications', 'Trend Unknown/Unrecorded']",21959976,Critically Endangered,"['Forest - Temperate', 'Forest - Subtropical/Tropical Swamp']"
106,106,18103,Potorous platyops,Broad-faced Potoroo,[],21960570,Extinct,"['Wetlands (inland) - Permanent Saline, Brackish or Alkaline Marshes/Pools']"
107,107,18107,Potorous gilbertii,Gilbert's Potoroo,"['Increase in fire frequency/intensity', 'Named species']",21960726,Critically Endangered,['Shrubland - Mediterranean-type Shrubby Vegetation']
108,108,136805,Bettongia pusilla,Nullarbor Dwarf Bettong,[],21960843,Extinct,['Unknown']
109,109,2783,Bettongia gaimardi,Tasmanian Bettong,"['Agro-industry grazing, ranching or farming', 'Agro-industry farming', 'Named species']",21960911,Near Threatened,['Forest - Temperate']
110,110,2784,Bettongia lesueur,Burrowing Bettong,['Named species'],21961179,Near Threatened,"['Savanna - Dry', 'Forest - Subtropical/Tropical Dry', 'Shrubland - Subtropical/Tropical Dry', 'Desert - Hot']"
111,111,2785,Bettongia penicillata,Brush-tailed Bettong,"['Increase in fire frequency/intensity', 'Unspecified species', 'Named species']",21961347,Critically Endangered,"['Forest - Temperate', 'Shrubland - Temperate']"
112,112,40558,Aepyprymnus rufescens,Rufous Bettong,[],21961456,Least Concern,"['Artificial/Terrestrial - Pastureland', 'Savanna - Dry', 'Forest - Subtropical/Tropical Dry', 'Forest - Temperate']"
113,113,3626,Caloprymnus campestris,Desert Rat-kangaroo,[],21961545,Extinct,['Desert - Temperate']
114,114,18508,Pseudochirulus cinereus,Daintree River Ringtail Possum,"['Storms & flooding', 'Temperature extremes', 'Habitat shifting & alteration']",21962025,Near Threatened,"['Forest - Subtropical/Tropical Moist Montane', 'Forest - Subtropical/Tropical Moist Lowland']"
115,115,18509,Pseudochirulus herbertensis,Herbert River Ringtail Possum,[],21962231,Least Concern,"['Forest - Subtropical/Tropical Moist Lowland', 'Forest - Subtropical/Tropical Moist Montane']"
116,116,40580,Petropseudes dahli,Rock Ringtail Possum,[],21962333,Least Concern,"['Rocky areas (eg. inland cliffs, mountain peaks)']"
117,117,9869,Hemibelideus lemuroides,Lemuroid Ringtail Possum,"['Roads & railroads', 'Utility & service lines']",21962427,Near Threatened,"['Forest - Subtropical/Tropical Moist Lowland', 'Forest - Subtropical/Tropical Moist Montane']"
118,118,18502,Pseudochirops archeri,Green Ringtail Possum,"['Storms & flooding', 'Habitat shifting & alteration', 'Small-holder grazing, ranching or farming']",21962719,Near Threatened,"['Forest - Subtropical/Tropical Moist Montane', 'Forest - Subtropical/Tropical Moist Lowland']"
119,119,40581,Pseudocheirus peregrinus,Common Ringtail Possum,[],21963019,Least Concern,"['Artificial/Terrestrial - Plantations', 'Forest - Subtropical/Tropical Moist Lowland', 'Forest - Subtropical/Tropical Dry', 'Artificial/Terrestrial - Urban Areas', 'Artificial/Terrestrial - Rural Gardens', 'Forest - Temperate', 'Savanna - Dry']"
120,120,18492,Pseudocheirus occidentalis,Western Ringtail Possum,"['Trend Unknown/Unrecorded', 'Housing & urban areas', 'Motivation Unknown/Unrecorded', 'Named species', 'Other impacts', 'Droughts', 'Temperature extremes']",21963100,Critically Endangered,['Forest - Subtropical/Tropical Dry']
